Queue_ID,Project_Name,Interconnecting_Entity,County,State,Interconnection_Location,Transmission_Owner,Generation_Type,Capacity_(MW),Summer_Capacity_(MW),Winter_Capacity_(MW),Queue_Date,Status,Proposed_Completion_Date,Withdrawn_Date,Withdrawal_Comment,Actual_Completion_Date,Fuel,Technology,GIM_Study_Phase,Screening_Study_Started,Screening_Study_Complete,FIS_Requested,FIS_Approved,Economic_Study_Required,IA_Signed,Air_Permit,GHG_Permit,Water_Availability,Meets_Planning,Meets_All_Planning,CDR_Reporting_Zone,Approved_for_Energization,Approved_for_Synchronization,Comment
15INR0064b,Harald (BearKat Wind B),CIP,Glasscock,Texas,59903 Bearkat 345kV,,Wind - Wind Turbine,162.1,,,2013-11-27,Completed,2025-06-30,,,2020-05-12,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2013-11-27,2014-01-27,2014-04-15 00:00:00.000,2017-09-27,No,2018-05-30,Not Required,Not Required,Not Required,2018-05-30 00:00:00,2018-09-19 00:00:00,WEST,2020-02-10,2020-05-12,
16INR0049,Nazareth Solar,"TX Nazareth Solar, LLC",Castro,Texas,tap 345kV 23914 Tule Canyon - 23912 Ogallala C2,,Solar - Photovoltaic Solar,203.0,,,2014-06-19,Completed,2026-12-31,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2014-06-19,2014-07-25,2014-07-01 00:00:00.000,,No,2023-06-07,Not Required,Not Required,Not Required,2024-03-22 00:00:00,,PANHANDLE,,,
16INR0081,Mesteno Wind,"Mesteno Windpower, LLC",Starr,Texas,80355 Del Sol 345kV,,Wind - Wind Turbine,201.6,,,2014-12-30,Completed,2025-06-30,,,2019-12-12,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2014-12-30,2015-03-09,2014-12-30 00:00:00.000,2018-01-29,No,2018-04-25,Not Required,Not Required,Not Required,2018-04-25 00:00:00,2019-03-28 00:00:00,SOUTH,2019-11-26,2019-12-12,
16INR0085,Priddy Wind ,ENGIE North America,Mills,Texas,tap 345kV 1444 Brown – 3422 Killeen,,Wind - Wind Turbine,302.4,,,2015-01-14,Completed,2025-12-30,,,2021-11-19,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-01-14,2015-02-10,2015-03-06 00:00:00.000,2021-04-30,No,2020-08-13,Not Required,Not Required,Not Required,2021-03-29 00:00:00,2021-04-30 00:00:00,NORTH,2021-10-13,2021-11-19,
16INR0104,Big Sampson Wind ,"Big Sampson Wind Project, LLC",Crockett,Texas,tap 345kV 76015 Cedar Canyon - 7053 Noelke,,Wind - Wind Turbine,265.4,,,2015-05-11,Completed,2025-10-04,,,2025-06-16,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-05-11,2015-06-17,2015-05-11 00:00:00.000,2024-10-30,Yes,2019-11-08,Not Required,Not Required,Not Required,2024-10-31 00:00:00,2024-11-04 00:00:00,WEST,2025-06-04,2025-06-16,
16INR0112,Loma Pinta Wind ,Enerverse,La Salle,Texas,5705 Fowlerton 138kV,,Wind - Wind Turbine,197.01,,,2015-05-18,Completed,2025-09-01,,,,Wind,Wind Turbine,"SS Completed, FIS Started, IA",2015-05-18,2015-07-02,2015-05-18 00:00:00.000,,No,2017-12-13,Not Required,Not Required,Not Required,,,SOUTH,,,
17INR0027b,Coyote Wind,Coyote Wind,Scurry,Texas,11305 Dermott 345kV,,Wind - Wind Turbine,242.6,,,2015-04-22,Completed,2025-01-31,,,2020-11-25,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-04-22,2015-05-22,2015-06-11 00:00:00.000,2020-01-31,No,2016-08-09,Not Required,Not Required,Not Required,2016-08-09 00:00:00,2020-01-28 00:00:00,WEST,2020-08-24,2020-11-25,
17INR0043,Vaquero 1 Wind,Enerverse,Zapata,Texas,tap 345kV 8905 N Edinb - 8455 Lon Hill,,Wind - Wind Turbine,400.0,,,2016-04-01,Active,2027-01-15,,,,Wind,Wind Turbine,"SS Completed, FIS Started, No IA",2016-04-01,2016-05-10,2016-04-01 00:00:00.000,,,,Not Required,Not Required,Not Required,,,SOUTH,,,
17INR0052,Horse13 CallD repower,Nextera,Taylor,Texas,6216 Bluff Creek 138kV,,Wind - Wind Turbine,44.0,,,2016-10-03,Completed,2025-06-30,,,2021-03-16,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-10-03,2016-10-17,2016-10-03 00:00:00.000,2018-04-10,No,2019-05-22,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,WEST,,2021-03-16,
17INR0053,HHGT repower Horse13+CallD,Nextera,Taylor,Texas,7046 Kendal 345kV,,Wind - Wind Turbine,44.0,,,2016-10-03,Completed,2025-06-30,,,2021-09-10,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-10-03,2016-10-17,2016-10-03 00:00:00.000,2017-07-06,No,2009-06-26,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,WEST,,2021-09-10,
17INR0054,Capricorn I & III repower,Nextera,Sterling,Texas,180757 Capricorn Ridge 3 138kV,,Wind - Wind Turbine,32.0,,,2017-03-09,Completed,2025-06-30,,,2021-03-04,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-03-09,2017-04-24,2017-03-09 00:00:00.000,2018-02-26,No,2006-11-14,Not Required,Not Required,Not Required,2021-02-28 00:00:00,2021-02-28 00:00:00,WEST,,2021-03-04,
17INR0061,Capricorn IV repower,Nextera,Sterling,Texas,76090 Divide 345kV,,Wind - Wind Turbine,9.0,,,2017-08-23,Completed,2025-03-31,,,2020-08-19,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-08-23,2017-09-15,2017-08-23 00:00:00.000,2018-02-06,No,2008-01-15,Not Required,Not Required,Not Required,2020-08-28 00:00:00,2020-08-28 00:00:00,WEST,,2020-08-19,
17INR0068,Sweetwater 2 repower,Leeward Energy,Nolan,Texas,71050 Bitter Creek 345kV,,Wind - Wind Turbine,7.3,,,2017-10-05,Completed,2024-11-30,,,2017-12-20,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-10-05,2017-10-05,2017-10-05 00:00:00.000,2017-11-10,No,2003-06-27,Not Required,Not Required,Not Required,2018-10-31 00:00:00,2018-10-31 00:00:00,WEST,,2017-12-20,
17INR0069,Trent repower,TRENT WIND FARM LLC ,Nolan,Texas,1338 Eskota 138kV,,Wind - Wind Turbine,6.4,,,2017-11-08,Completed,2025-01-30,,,2019-05-09,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-11-08,2017-11-28,2017-11-08 00:00:00.000,2018-03-01,No,2018-10-19,Not Required,Not Required,Not Required,2018-10-31 00:00:00,2018-10-31 00:00:00,WEST,,2019-05-09,
17INR0070,Desert Sky repower,DESERT SKY WIND FARM LLC,Pecos,Texas,two LCRA 138kV,,Wind - Wind Turbine,7.2,,,2017-11-08,Completed,2023-05-16,,,2019-09-06,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-11-08,2017-11-28,2017-11-08 00:00:00.000,2018-02-06,No,2018-10-18,Not Required,Not Required,Not Required,2018-10-31 00:00:00,2018-10-31 00:00:00,WEST,,2019-09-06,
18INR0009,Eagle Pines Gas,FGE Power,Cherokee,Texas,tap 345kV 3109 Stryker - 3123 Trinidad,,Gas - Combined-Cycle,1173.5,,,2015-03-30,Active,2028-10-30,,,,Gas,Combined-Cycle,"SS Completed, FIS Started, No IA",2015-03-30,2015-06-23,2015-04-29 00:00:00.000,,,,2017-02-14 00:00:00,2015-11-04 00:00:00,,,,NORTH,,,
18INR0030,Canyon Wind,"Canyon Wind Energy, LLC",Scurry,Texas,11319 SCOSW ScurryCounty 138kV,,Wind - Wind Turbine,308.82,,,2016-05-09,Completed,2025-07-11,,,2023-12-01,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-05-09,2016-07-22,2017-03-02 00:00:00.000,2023-03-27,No,2018-09-20,Not Required,Not Required,Not Required,2020-02-07 00:00:00,2023-04-28 00:00:00,WEST,2023-11-15,2023-12-01,
18INR0031,Maryneal Wind,"Maryneal Windpower, LLC",Nolan,Texas,71050 Bitter Creek 345kV,,Wind - Wind Turbine,182.4,,,2016-05-26,Completed,2025-07-31,,,2021-04-23,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-05-26,2016-07-21,2016-07-22 00:00:00.000,2020-01-31,No,2020-01-31,Not Required,Not Required,Not Required,2020-01-31 00:00:00,2020-01-31 00:00:00,WEST,2021-01-08,2021-04-23,
18INR0064,Silver Star repower,"Silver Star I Power Partners, LLC",Eastland,Texas,1642 Flat Creek 138kV,,Wind - Wind Turbine,-7.2,,,2017-04-05,Completed,2024-12-27,,,2020-07-28,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-04-05,2017-05-08,2017-07-06 00:00:00.000,2018-04-26,No,2018-10-16,Not Required,Not Required,Not Required,2019-10-23 00:00:00,2019-10-23 00:00:00,NORTH,,2020-07-28,
18INR0069,Indian Mesa repower,Nextera,Pecos,Texas,76019 Indian NWP 138kV,,Wind - Wind Turbine,9.3,,,2018-05-22,Completed,2025-06-30,,,2018-11-02,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-05-22,2018-08-29,2018-05-22 00:00:00.000,2018-10-03,No,2018-12-04,Not Required,Not Required,Not Required,2018-10-31 00:00:00,2018-10-31 00:00:00,WEST,,2018-11-02,
18INR0073,Sweetwater 1 repower ,Leeward Energy,Nolan,Texas,71050 Bitter Creek 345kV,,Wind - Wind Turbine,3.0,,,2018-02-09,Completed,2024-11-30,,,,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-02-09,2018-02-09,2018-02-09 00:00:00.000,2018-12-27,No,2002-10-23,Not Required,Not Required,Not Required,,,WEST,,,
18INR0079,Woodward I repower,Nextera,Pecos,Texas,60400 Lynx 138kV,,Wind - Wind Turbine,0.0,,,2018-06-27,Completed,2025-06-30,,,2019-11-13,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-06-27,2018-06-27,2018-06-27 00:00:00.000,2019-01-09,No,2018-12-12,Not Required,Not Required,Not Required,2020-10-30 00:00:00,2020-10-30 00:00:00,WEST,2019-11-07,2019-11-13,
18INR0080,Woodward 2 repower,Nextera,Pecos,Texas,60400 Lynx 138kV,,Wind - Wind Turbine,0.0,,,2018-06-19,Completed,2025-06-30,,,2018-12-19,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-06-19,2018-06-19,2018-06-19 00:00:00.000,2018-11-27,No,2018-12-18,Not Required,Not Required,Not Required,2018-11-29 00:00:00,2018-11-29 00:00:00,WEST,,2018-12-19,
19INR0002,Grandfalls Solar,Nextera,Upton,Texas,842 King Mountain Station 345kV,,Solar - Photovoltaic Solar,178.0,,,2016-05-24,Active,2027-07-01,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2016-05-24,2016-06-06,2016-05-24 00:00:00.000,,,,Not Required,Not Required,Not Required,,,WEST,,,
19INR0022,Monte Alto I,Terra-Gen,Willacy,Texas,tap 345kV 8318 Rio Hondo - 8383 N Edinburg,,Wind - Wind Turbine,141.5,,,2016-11-04,Completed,2027-06-01,,,,Wind,Wind Turbine,"SS Completed, FIS Started, IA",2016-11-04,2017-01-10,2017-03-23 00:00:00.000,,No,2020-02-13,Not Required,Not Required,Not Required,2025-02-12 00:00:00,,COASTAL,,,
19INR0023,Monte Alto 2 Wind,Terra-Gen,Willacy,Texas,tap 345kV 8318 Rio Hondo - 8383 N Edinburg,,Wind - Wind Turbine,307.9,,,2016-11-04,Completed,2027-06-01,,,,Wind,Wind Turbine,"SS Completed, FIS Started, IA",2016-11-04,2017-01-10,2017-03-23 00:00:00.000,,No,2022-03-22,Not Required,Not Required,Not Required,2025-02-12 00:00:00,,COASTAL,,,
19INR0026,Holstein 2 Solar,229HD 8me LLC,Nolan,Texas,11406 Central Bluff 345kV,,Solar - Photovoltaic Solar,100.7,,,2016-12-21,Active,2028-04-03,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2016-12-21,2017-02-02,2017-02-13 00:00:00.000,,,,Not Required,Not Required,Not Required,,,WEST,,,
19INR0035,Norton Solar,"TAI Norton Solar, LLC",Runnels,Texas,60451 Garnet 138kV,,Solar - Photovoltaic Solar,128.48,,,2017-03-06,Completed,2025-11-24,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-03-06,2017-04-20,2017-11-08 00:00:00.000,2024-10-29,No,2019-06-20,Not Required,Not Required,Not Required,2019-07-12 00:00:00,2023-05-30 00:00:00,WEST,,,
19INR0041,Myrtle Solar,"Myrtle Solar, LLC ",Brazoria,Texas,42110 Angleton 138kV,,Solar - Photovoltaic Solar,321.2,,,2017-03-15,Completed,2025-09-06,,,2022-12-20,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-03-15,2017-04-28,2017-05-09 00:00:00.000,2022-01-25,,2019-11-13,Not Required,Not Required,Not Required,2019-11-30 00:00:00,2020-05-06 00:00:00,COASTAL,2022-12-07,2022-12-20,
19INR0042,Long Point Solar,"Long Point Solar, LLC",Brazoria,Texas,138 KV  (CEHE Sub) Tap Burke (42410) - Eagle Nest (42430)  ckt 02 ,,Solar - Photovoltaic Solar,120.7,,,2017-03-15,Completed,2026-04-01,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-03-15,2017-04-20,2017-11-13 00:00:00.000,2025-03-14,No,2019-10-24,Not Required,Not Required,Not Required,2025-02-12 00:00:00,2025-04-18 00:00:00,COASTAL,,,
19INR0054,Monte Cristo 1 Wind,Terra-Gen,Hidalgo,Texas,Tap 345kV #8574 Pomelo - #8383 North Edinburg Ckt 2,,Wind - Wind Turbine,234.5,,,2017-04-11,Completed,2025-09-09,,,,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-04-11,2017-05-03,2017-07-28 00:00:00.000,2024-10-25,No,2023-05-09,Not Required,Not Required,Not Required,2024-10-25 00:00:00,2024-11-04 00:00:00,SOUTH,2025-05-29,,
19INR0055,Monte Cristo II Wind,"Monte Cristo Windpower II, LLC",Hidalgo,Texas,tap 345kV #8574 Pomelo - #8383 North Edinburg ckt 2 ,,Wind - Wind Turbine,233.9,,,2017-04-11,Active,2026-12-31,,,,Wind,Wind Turbine,"SS Completed, FIS Started, No IA",2017-04-11,2017-05-03,2017-07-28 00:00:00.000,,,,Not Required,Not Required,Not Required,,,SOUTH,,,
19INR0075,Horseshoe Bend Solar,Clenera,Brown,Texas,1444 Brown 345kV,,Solar - Photovoltaic Solar,301.1,,,2017-06-23,Active,2026-09-19,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2017-06-23,2017-08-07,2018-02-09 00:00:00.000,,No,,Not Required,Not Required,Not Required,,,NORTH,,,
19INR0080,Whitehorse Wind,MESQUITE STAR SPECIAL LLC,Fisher,Texas,68001 Clayton 345kV,,Wind - Wind Turbine,418.9,,,2017-06-23,Completed,2024-10-31,,,2019-12-27,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-06-23,2017-08-07,2018-02-16 00:00:00.000,2019-01-22,No,2018-12-05,Not Required,Not Required,Not Required,2019-03-12 00:00:00,2019-04-02 00:00:00,WEST,2019-12-12,2019-12-27,
19INR0085,Blue Jay Solar ,"Blue Jay Solar I, LLC",Grimes,Texas,4 Iola 138kV,,Solar - Photovoltaic Solar,141.05,,,2017-05-30,Completed,2025-05-31,,,2022-06-28,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-05-30,2017-08-11,2018-02-15 00:00:00.000,2021-04-26,No,2020-10-26,Not Required,Not Required,Not Required,2020-12-02 00:00:00,2021-04-26 00:00:00,NORTH,2021-11-11,2022-06-28,
19INR0100,Prairie Hill Wind,Prairie Hill LLC,McLennan,Texas,tap 345kV 3405 Tradinghouse - 3402 Lake Creek ,,Wind - Wind Turbine,300.0,,,2017-06-19,Completed,2025-12-31,,,2020-11-12,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-06-19,2017-08-11,2017-06-19 00:00:00.000,2020-04-03,No,2018-09-17,Not Required,Not Required,Not Required,2018-11-27 00:00:00,2020-04-21 00:00:00,NORTH,2020-10-19,2020-11-12,
19INR0103,Rodeo Solar,"Core Solar SPV I, LLC",Andrews,Texas,"138kV 11273 NELSON SWITCH
",,Solar - Photovoltaic Solar,200.0,,,2017-06-29,Completed,2026-11-30,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2017-06-29,2017-08-04,2018-02-19 00:00:00.000,,,2019-08-20,Not Required,Not Required,Not Required,2021-03-10 00:00:00,2022-11-01 00:00:00,WEST,,,
19INR0110,Azalea Springs Solar ,AZALEA SPRINGS SOLAR PARK LLC ,Angelina,Texas,tap 138kV Jim English – Lufkin Chipper Mill,,Solar - Photovoltaic Solar,181.0,,,2017-07-26,Completed,2025-06-27,,,2025-02-11,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-07-26,2017-09-15,2018-03-15 00:00:00.000,2024-04-30,No,2023-09-14,Not Required,Not Required,Not Required,2024-05-01 00:00:00,2024-05-01 00:00:00,NORTH,2025-01-29,2025-02-11,
19INR0117,Roadrunner Crossing Wind SLF,"Roadrunner Crossing Wind Farm, LLC",Eastland,Texas,68051 Reata 345kV,,Wind - Wind Turbine,128.0,,,2017-09-08,Completed,2025-06-27,,,2024-04-18,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-09-08,2017-11-07,2018-03-05 00:00:00.000,2023-04-26,No,2020-04-17,Not Required,Not Required,Not Required,2020-09-17 00:00:00,2023-04-26 00:00:00,NORTH,2024-04-05,2024-04-18,
19INR0120,Sherbino II Wind repower,Sherbino II Wind Farm LLC,Pecos,Texas,38430 TN White Baker 138kV,,Wind - Wind Turbine,-18.0,,,2017-08-18,Completed,2024-12-27,,,2020-06-09,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-08-18,2017-09-28,2017-09-21 00:00:00.000,2018-12-04,No,2008-02-28,Not Required,Not Required,Not Required,2019-10-28 00:00:00,2019-10-28 00:00:00,WEST,,2020-06-09,
19INR0134,Cottonwood Bayou Solar,"Cottonwood Bayou Solar, LLC",Brazoria,Texas,tap 138kV 42870 Liverpool - 43070 Petson,,Solar - Photovoltaic Solar,351.4,,,2017-09-22,Completed,2025-06-30,,,2024-05-29,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-09-22,2017-11-17,2018-02-15 00:00:00.000,2023-04-27,No,2019-11-13,Not Required,Not Required,Not Required,2023-04-27 00:00:00,2023-04-27 00:00:00,COASTAL,2024-05-01,2024-05-29,
19INR0155,Morrow Lake Solar,"Morrow Lake Solar, LLC",Frio,Texas,Morrow Lake Switch 138kV (5896),,Solar - Photovoltaic Solar,201.1,,,2017-12-05,Completed,2025-06-30,,,2024-07-16,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2017-12-05,2018-01-15,2018-02-15 00:00:00.000,2023-11-01,No,2019-08-29,Not Required,Not Required,Not Required,2019-11-18 00:00:00,2023-11-01 00:00:00,SOUTH,2024-06-18,2024-07-16,
19INR0174,Elbow Creek repower,NRG,Howard,Texas,1058 Longshore 345kV,,Wind - Wind Turbine,0.0,,,2018-05-04,Completed,2025-09-01,,,2019-06-27,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-05-04,2018-05-18,2018-07-19 00:00:00.000,2018-09-17,No,2007-11-30,Not Required,Not Required,Not Required,2018-10-31 00:00:00,2018-10-31 00:00:00,WEST,,2019-06-27,
19INR0189,SP TX-12B Phase III,ConEd Development,Upton,Texas,76040 Castillo 138kV,,Solar - Photovoltaic Solar,40.0,,,2018-09-12,Active,2025-12-02,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2018-09-12,2018-10-03,,,No,,Not Required,Not Required,Not Required,,,WEST,,,
20INR0012,Lueders Solar,Innovative Solar 75,Haskell,Texas,Tap 138kV 6161 Paint Creek - 6200 Ft Phantom,,Solar - Photovoltaic Solar,40.0,,,2017-07-11,Active,2027-12-31,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2017-07-11,2017-08-28,2017-10-20 00:00:00.000,,No,,Not Required,Not Required,Not Required,,,WEST,,,
20INR0019,Trinity Hills Wind repower,Trinity Hills Wind Farm LLC,Young,Texas,17002 Garvey Rd 345kV,,Wind - Wind Turbine,-27.0,,,2017-07-20,Completed,2024-12-17,,,2020-05-22,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-07-20,2017-09-08,2017-09-21 00:00:00.000,2018-08-02,No,2018-10-17,Not Required,Not Required,Not Required,2019-10-29 00:00:00,2019-10-29 00:00:00,WEST,,2020-05-22,
20INR0029,Lutum Wind,RWE,Clay,Texas,tap 345kV 6101 Riley - 1730 W Krum,,Wind - Wind Turbine,241.5,,,2017-09-12,Active,2027-07-01,,,,Wind,Wind Turbine,"SS Completed, FIS Started, No IA",2017-09-12,2017-11-07,2018-05-08 00:00:00.000,,No,,Not Required,Not Required,Not Required,,,WEST,,,
20INR0033,WILDWIND,Wildcat Creek,Cooke,Texas,tap 345kV 1730 KrumW - 2373 Anna,,Wind - Wind Turbine,180.08,,,2017-10-18,Completed,2025-11-15,,,2021-02-10,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2017-10-18,2017-12-11,2018-06-14 00:00:00.000,2019-11-25,No,2020-02-21,Not Required,Not Required,Not Required,2020-03-23 00:00:00,2020-04-30 00:00:00,NORTH,2020-12-22,2021-02-10,
20INR0047,Siete,Apex Clean Energy,Webb,Texas,345kV 8718 Triada,,Wind - Wind Turbine,492.8,,,2018-10-23,Completed,2026-10-31,,,,Wind,Wind Turbine,"SS Completed, FIS Started, IA",2018-10-23,2018-12-11,2019-06-12 00:00:00.000,,No,2022-06-30,Not Required,Not Required,Not Required,2022-07-19 00:00:00,,SOUTH,,,
20INR0050,Castro Solar,"Castro Solar One, LLC",Castro,Texas,23912 Ogallala 345kV,,Solar - Photovoltaic Solar,222.95,,,2018-02-08,Completed,2027-10-11,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2018-02-08,2018-04-09,2018-05-15 00:00:00.000,,No,2020-11-30,Not Required,Not Required,Not Required,,,PANHANDLE,,,
20INR0069,Danish Fields Solar,"Danish Fields Solar, LLC ",Wharton,Texas,44200 Hillje 345kV,,Solar - Photovoltaic Solar,602.8,,,2018-04-12,Completed,2025-08-29,,,2023-05-04,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2018-04-12,2018-06-05,2018-08-21 00:00:00.000,2022-07-25,No,2020-02-24,Not Required,Not Required,Not Required,2022-07-28 00:00:00,2022-07-28 00:00:00,SOUTH,2023-03-27,2023-05-04,
20INR0083,Baird North Wind,"BMP Wind, LLC",Callahan,Texas,68008 Latimer 345kV,,Wind - Wind Turbine,350.0,,,2018-05-04,Completed,2025-12-31,,,2021-08-20,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-05-04,2018-06-12,2018-08-20 00:00:00.000,2020-10-30,No,2019-05-31,Not Required,Not Required,Not Required,2019-07-19 00:00:00,2020-10-30 00:00:00,WEST,2021-08-09,2021-08-20,
20INR0086,Arroyo Solar,"BT Cantwell Solar, LLC",Cameron,Texas,345 KV Tap #8318 Rio Hondo - #8317 La Palma,,Solar - Photovoltaic Solar,100.0,,,2018-05-09,Completed,2028-02-22,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2018-05-09,2018-07-09,2018-10-10 00:00:00.000,,No,2021-09-28,Not Required,Not Required,Not Required,,,COASTAL,,,
20INR0091,Fagus Solar Park 1 SLF,"Excel Advantage Services, LLC dba Misae Solar Park II",Childress,Texas,60501 Tesla 345kV,,Solar - Photovoltaic Solar,166.42,,,2018-05-15,Completed,2026-02-10,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2018-05-15,2018-07-06,2018-05-15 00:00:00.000,2024-02-27,No,2019-02-21,Not Required,Not Required,Not Required,2021-01-15 00:00:00,2024-04-30 00:00:00,PANHANDLE,2025-05-29,,
20INR0097,El Sauz Ranch,"El Sauz Ranch Wind, LLC",Willacy,Texas,8663 EL SAUZ POI 345kV,,Wind - Wind Turbine,301.5,,,2018-06-19,Completed,2025-08-01,,,2023-02-28,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-06-19,2018-08-22,2019-01-31 00:00:00.000,2021-10-29,,2021-01-27,Not Required,Not Required,Not Required,2021-10-14 00:00:00,2022-01-26 00:00:00,COASTAL,2022-09-28,2023-02-28,
20INR0106,Wang Solar SLF,"BT Yixin Solar, LLC",Falls,Texas,tap 345kV 3409 LakeCr1 - 3414 TempSS,,Solar - Photovoltaic Solar,144.6,,,2018-06-14,Active,2026-03-31,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2018-06-14,2018-08-13,2018-08-29 00:00:00.000,,No,,Not Required,Not Required,Not Required,,,NORTH,,,
20INR0127,Walleye Solar,"Sandow Lakes Ranch Solar II, LLC",Milam,Texas,138kV Walleye Creek Switch 3712,,Solar - Photovoltaic Solar,215.2,,,2018-07-03,Active,2027-10-01,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, No IA",2018-07-03,2018-09-18,,,,,Not Required,Not Required,Not Required,,,SOUTH,,,
20INR0129,Foxtrot Wind,Lincoln Clean,Bee,Texas,AEP 88689 Tango 345kV station,,Wind - Wind Turbine,268.2,,,2018-07-26,Completed,2025-06-30,,,2022-03-09,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-07-26,2018-09-14,2018-07-26 00:00:00.000,2021-07-30,No,2020-05-05,Not Required,Not Required,Not Required,2021-07-30 00:00:00,2021-07-30 00:00:00,SOUTH,2022-02-23,2022-03-09,
20INR0130,Plainview Solar,Hecate Energy Ramsey LLC,Wharton,Texas,44200 Hillje 345kV,,Solar - Photovoltaic Solar,514.0,,,2018-10-10,Completed,2024-03-26,,,2021-07-26,Solar,Photovoltaic Solar,"SS Completed, FIS Completed, IA",2018-10-10,2018-11-21,2018-10-10 00:00:00.000,2020-10-26,No,2020-05-29,Not Required,Not Required,Not Required,2020-10-07 00:00:00,2020-10-26 00:00:00,SOUTH,2021-07-17,2021-07-26,
20INR0143,Tri-X Solar 1 SLF,"Crane I Solar Electric, LLC",Crane,Texas,Tap 138kV 6601 Rio Pecos - 60014 Spudder,,Solar - Photovoltaic Solar,201.5,,,2016-11-07,Completed,2028-12-01,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2016-11-07,2016-11-08,2017-02-10 00:00:00.000,,No,2022-02-28,Not Required,Not Required,Not Required,,,WEST,,,
20INR0155,Peyton Creek Wind II,"RWE Renewables Development, LLC",Matagorda,Texas,42400 Refuge 345kV,,Wind - Wind Turbine,241.2,,,2018-08-21,Completed,2025-07-15,,,2025-02-05,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2018-08-21,2018-11-02,2019-03-14 00:00:00.000,2024-06-25,No,2023-02-27,Not Required,Not Required,Not Required,2024-06-25 00:00:00,2024-07-24 00:00:00,COASTAL,2024-12-30,2025-02-05,
20INR0162,Diamondback solar,Nextera,Starr,Texas,80355 Del Sol 345kV,,Solar - Photovoltaic Solar,203.8,,,2018-09-13,Completed,2027-12-31,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2018-09-13,2018-12-06,2018-11-07 00:00:00.000,,No,2024-06-14,Not Required,Not Required,Not Required,2025-02-12 00:00:00,,SOUTH,,,
